Type,RegionName,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Minimum,Arkansas,1993,-0.778,-0.778,3.667,7.778,13.667,19.167,22.222,21.278,14.778,8.278,1.778,0.222
Minimum,Arkansas,1998,2.333,2.667,4.389,8.722,16.222,20.667,22.667,20.889,19.167,11.333,6.611,1.444
Minimum,Arkansas,2003,-3.222,-0.333,4.167,9.5,15.278,17.389,20.944,21.167,15.056,10.222,6.944,-0.056
Minimum,Arkansas,2008,-1.889,0.5,4.5,8.556,13.889,19.722,20.611,20.0,16.278,8.611,3.056,-1.167
Minimum,Arkansas,2013,0.333,0.778,2.056,8.167,13.722,19.278,19.389,20.0,17.111,10.722,2.778,-0.778
Minimum,Arkansas,2018,-3.722,2.222,5.667,6.111,17.667,20.667,21.667,20.444,19.0,11.556,2.056,2.0
Minimum,Arkansas,2022,-3.0,-1.056,3.944,9.222,15.833,19.5,22.556,21.0,16.111,8.5,3.944,1.444
Minimum,California,1968,-0.5,4.778,3.667,4.722,8.333,12.778,15.889,14.167,12.222,8.0,4.444,-0.778
Minimum,California,1973,-0.5,2.889,1.889,5.0,10.0,13.333,15.333,14.667,11.722,7.5,4.0,2.222
Minimum,California,1978,3.444,3.222,6.0,5.111,8.389,12.389,15.389,15.056,11.889,9.444,2.222,-1.667
Minimum,California,1983,1.722,3.611,4.722,4.056,8.833,12.0,14.056,15.889,14.333,9.611,4.667,3.111
Minimum,California,1988,0.722,1.778,3.278,6.111,8.111,12.389,17.0,15.389,12.333,10.056,4.5,0.167
Minimum,California,1993,0.556,1.944,5.778,6.167,9.778,12.222,14.389,14.722,12.222,9.278,2.556,0.444
Minimum,California,1998,2.667,2.333,3.667,4.444,6.889,11.389,16.222,16.5,13.389,7.0,3.722,-0.5
Minimum,California,2003,4.333,1.833,4.278,4.111,9.222,13.556,17.5,16.0,14.278,10.333,2.722,1.778
Minimum,California,2008,0.333,1.5,3.056,4.611,9.056,13.056,16.5,16.444,13.5,8.667,6.056,0.222
Minimum,California,2013,-0.556,0.611,5.0,7.056,10.056,14.222,17.444,15.444,13.111,6.944,4.556,0.0
Minimum,California,2018,3.944,1.222,3.444,6.833,10.056,13.5,18.389,16.556,13.389,9.056,4.833,2.056
Minimum,California,2022,1.889,1.556,4.611,6.056,9.111,14.222,17.278,17.833,15.556,10.222,1.778,1.278
Minimum,Colorado,1968,-12.556,-8.889,-6.389,-3.667,2.056,8.111,11.0,9.444,4.222,0.222,-6.889,-11.889
Minimum,Colorado,1973,-13.556,-10.556,-5.667,-3.944,2.889,7.333,10.611,10.444,5.167,0.278,-5.278,-10.222
Minimum,Colorado,1978,-10.667,-9.889,-4.222,-0.444,2.778,8.611,11.444,9.222,6.0,0.111,-5.333,-14.111
Minimum,Colorado,1983,-8.889,-7.444,-4.722,-3.778,1.833,7.111,11.722,12.5,7.0,0.889,-5.611,-12.722
Minimum,Colorado,1988,-13.944,-9.833,-7.278,-1.556,3.444,10.222,11.444,11.278,5.278,1.389,-5.5,-10.944
Minimum,Colorado,1993,-10.667,-9.722,-4.722,-1.556,3.944,7.444,10.5,10.222,4.667,-0.389,-8.556,-9.889
Minimum,Colorado,1998,-8.722,-7.444,-6.333,-2.444,4.111,6.722,12.889,11.0,8.556,1.111,-3.444,-10.333
Minimum,Colorado,2003,-7.389,-9.722,-4.5,-0.333,4.278,7.611,13.111,11.944,5.111,2.0,-5.944,-9.056
Minimum,Colorado,2008,-13.111,-9.444,-6.611,-3.389,2.389,7.5,11.944,11.056,5.833,0.5,-3.778,-10.444
Minimum,Colorado,2013,-12.722,-10.778,-6.111,-3.333,3.556,9.389,12.333,11.611,8.722,-0.611,-5.278,-11.778
Minimum,Colorado,2018,-9.056,-9.0,-4.833,-1.444,5.778,10.056,12.667,10.722,8.056,0.556,-6.667,-10.0
Minimum,Colorado,2022,-10.667,-11.667,-6.167,-1.889,3.611,9.611,13.278,11.944,8.333,0.611,-7.889,-10.5
Minimum,Connecticut,1968,-11.389,-10.444,-2.333,2.333,6.333,12.556,15.778,13.944,10.556,6.056,-0.389,-7.722
Minimum,Connecticut,1973,-7.111,-8.167,0.056,3.278,7.0,14.5,16.0,16.444,10.111,4.278,0.333,-4.111
Minimum,Connecticut,1978,-9.667,-12.333,-5.333,1.111,7.556,11.722,14.278,16.0,8.5,3.278,-0.5,-5.667
Minimum,Connecticut,1983,-7.444,-6.667,-0.778,2.889,7.056,12.556,15.5,15.222,10.889,5.056,0.333,-6.611
Minimum,Connecticut,1988,-11.111,-7.5,-3.056,2.222,8.222,11.5,16.889,16.722,9.167,2.278,0.0,-6.944
Minimum,Connecticut,1993,-6.0,-10.611,-4.556,2.778,8.111,12.444,16.0,15.722,11.333,3.278,-1.111,-5.611
Minimum,Connecticut,1998,-3.5,-2.833,-1.333,2.944,9.556,13.333,15.833,15.889,11.611,5.333,-0.056,-2.889
Minimum,Connecticut,2003,-10.278,-9.5,-4.389,1.056,6.944,12.833,16.056,17.222,12.167,3.778,1.444,-4.556
Minimum,Connecticut,2008,-6.333,-6.111,-2.944,2.833,6.333,14.333,17.333,13.778,11.889,3.722,0.056,-4.833
Minimum,Connecticut,2013,-6.556,-5.833,-2.222,2.222,7.778,14.056,19.5,14.722,10.167,5.778,-1.222,-5.167
Minimum,Connecticut,2018,-8.722,-3.0,-2.0,0.667,10.444,13.222,17.5,18.5,14.5,6.278,-0.222,-3.444
Minimum,Connecticut,2022,-9.667,-6.722,-1.667,2.778,10.111,13.0,17.222,17.722,12.056,5.667,1.667,-4.111
Minimum,Delaware,1968,-6.667,-6.5,1.0,4.778,9.333,15.667,18.556,18.167,12.778,8.944,3.889,-3.556
Minimum,Delaware,1973,-3.333,-4.333,3.444,6.111,10.222,18.111,18.611,18.889,14.722,7.889,2.889,-1.222
Minimum,Delaware,1978,-5.5,-9.333,-0.944,4.778,10.167,15.333,17.611,19.889,13.0,5.944,3.833,-1.889
Minimum,Delaware,1983,-2.889,-3.278,2.611,5.0,10.222,15.667,18.333,18.222,13.833,8.889,2.944,-3.111
Minimum,Delaware,1988,-6.778,-2.944,0.722,4.778,10.778,15.111,19.722,19.944,12.889,4.389,2.556,-2.944
Minimum,Delaware,1993,-0.889,-5.222,-0.389,5.167,11.5,16.0,20.278,18.444,14.722,7.111,2.0,-2.278
Minimum,Delaware,1998,0.611,0.722,2.5,6.722,12.556,16.444,18.556,18.111,15.611,8.167,2.0,0.222
Minimum,Delaware,2003,-5.611,-4.389,1.222,5.444,10.056,15.944,19.444,19.667,15.611,7.111,5.111,-1.722
Minimum,Delaware,2008,-2.333,-2.0,1.611,7.167,9.833,17.833,19.389,16.722,15.389,7.278,2.944,-0.611
Minimum,Delaware,2013,-1.778,-2.278,-0.056,6.389,12.111,17.778,21.444,18.0,13.167,9.889,1.722,-0.333
Minimum,Delaware,2018,-4.889,0.944,0.0,4.889,14.5,17.389,19.778,20.778,19.111,10.556,3.0,0.611
Minimum,Delaware,2022,-5.222,-2.111,2.556,6.111,13.222,16.444,20.889,20.0,15.056,7.889,4.0,-2.111
Minimum,Florida,1968,7.278,4.611,8.056,15.0,17.5,20.833,21.611,21.833,20.222,16.167,9.333,6.222
Minimum,Florida,1973,8.889,6.5,13.889,13.611,17.167,20.889,22.0,21.611,21.778,16.889,13.722,7.444
Minimum,Florida,1978,5.222,4.944,10.167,13.778,18.278,21.389,22.222,21.944,20.889,16.333,14.222,10.611
Minimum,Florida,1983,6.833,8.667,10.333,12.444,17.167,20.722,22.167,22.5,20.278,17.722,11.389,9.0
Minimum,Florida,1988,7.111,7.111,10.833,14.056,16.0,20.389,21.889,22.389,22.111,14.778,13.944,8.278
Minimum,Florida,1993,12.5,8.333,10.778,11.889,17.0,20.944,22.333,22.167,21.167,17.333,12.778,6.778
Minimum,Florida,1998,10.222,9.722,10.667,14.778,18.611,22.444,23.222,22.889,22.611,18.444,15.278,12.333
Minimum,Florida,2003,4.056,9.667,15.611,14.389,19.889,21.944,22.444,22.611,21.111,17.556,14.389,6.556
Minimum,Florida,2008,8.5,10.5,11.556,14.389,18.333,21.333,22.222,22.889,21.556,16.222,9.722,10.444
Minimum,Florida,2013,11.778,10.167,7.944,15.722,17.222,22.389,22.611,23.056,21.722,17.778,14.278,12.5
Minimum,Florida,2018,6.722,15.111,10.222,14.611,19.444,22.333,23.056,22.944,23.167,19.333,13.556,11.111
Minimum,Florida,2022,8.0,10.833,13.778,15.889,19.444,22.222,23.389,23.222,21.667,15.778,15.889,10.556
Minimum,Georgia,1968,-0.222,-1.833,3.667,10.889,13.667,18.056,20.0,20.167,16.056,11.222,4.222,-0.5
Minimum,Georgia,1973,1.5,0.556,9.722,9.444,13.056,19.056,20.667,19.611,19.056,11.722,7.111,1.833
Minimum,Georgia,1978,-2.0,-1.556,4.444,9.944,14.722,19.111,20.611,20.222,18.167,9.611,8.556,2.222
Minimum,Georgia,1983,0.222,2.611,5.833,7.722,14.056,17.611,20.667,20.722,16.111,11.944,4.833,0.833
Minimum,Georgia,1988,-0.5,0.944,5.667,10.056,12.556,17.111,20.222,20.833,18.333,8.667,7.167,1.111
Minimum,Georgia,1993,5.056,2.056,5.167,7.444,14.111,19.056,21.556,20.5,17.722,11.278,5.444,1.444
Minimum,Georgia,1998,4.0,4.333,5.778,10.444,16.778,20.167,22.056,20.167,18.833,12.278,8.944,5.944
Minimum,Georgia,2003,-0.778,3.167,9.278,10.444,16.278,18.833,20.833,21.111,16.778,11.444,8.056,-0.222
Minimum,Georgia,2008,1.222,2.833,5.333,10.167,14.333,19.389,20.333,20.722,17.944,10.333,3.778,4.833
Minimum,Georgia,2013,5.278,3.056,3.333,10.333,13.889,20.111,21.056,20.667,18.0,12.0,5.333,4.833
Minimum,Georgia,2018,-0.667,9.389,5.556,8.556,17.056,20.333,21.444,20.889,20.889,14.0,6.0,4.944
Minimum,Georgia,2022,1.333,4.444,7.611,9.556,16.278,20.056,21.944,21.111,17.167,8.889,8.0,3.722
Minimum,Idaho,1968,-10.833,-5.833,-3.722,-3.389,1.667,6.333,9.389,8.333,4.722,-0.556,-4.111,-8.944
Minimum,Idaho,1973,-10.833,-8.5,-5.111,-2.444,2.056,6.111,9.5,8.889,4.722,0.056,-3.667,-5.778
Minimum,Idaho,1978,-5.889,-5.389,-3.111,-0.278,1.944,5.389,9.5,7.778,5.0,-1.444,-7.111,-12.778
Minimum,Idaho,1983,-5.944,-5.389,-2.389,-2.889,2.0,5.889,8.722,11.444,4.333,0.889,-2.889,-12.111
Minimum,Idaho,1988,-10.722,-7.389,-5.0,-0.333,2.5,8.5,10.167,8.111,4.056,2.667,-4.167,-9.833
Minimum,Idaho,1993,-11.944,-10.5,-3.444,-1.278,4.722,5.333,6.389,7.333,3.833,0.611,-9.0,-8.167
Minimum,Idaho,1998,-6.278,-6.222,-4.444,-1.278,3.0,5.333,11.833,10.167,8.0,-0.444,-2.5,-9.444
Minimum,Idaho,2003,-4.333,-8.0,-2.944,-1.111,2.778,6.722,11.778,10.889,5.222,1.722,-7.0,-6.056
Minimum,Idaho,2008,-11.556,-7.5,-6.722,-4.667,2.278,5.667,9.944,9.167,4.278,-0.056,-2.0,-9.889
Minimum,Idaho,2013,-11.5,-7.556,-4.556,-2.056,3.111,7.0,11.667,10.778,7.222,-1.111,-4.333,-10.889
Minimum,Idaho,2018,-5.111,-8.111,-4.667,-0.611,5.222,6.778,11.0,9.5,4.778,0.389,-5.167,-8.556
Minimum,Idaho,2022,-9.611,-10.111,-3.667,-3.667,1.444,6.5,11.778,11.944,7.389,1.389,-8.667,-9.389
Minimum,Illinois,1968,-9.222,-9.111,-0.333,5.0,9.0,16.222,17.389,17.444,11.944,6.0,0.611,-6.111
Minimum,Illinois,1973,-6.222,-5.333,3.722,5.389,9.167,16.5,18.444,17.556,14.5,9.0,1.444,-6.444
Minimum,Illinois,1978,-13.667,-13.444,-3.833,5.389,10.278,15.722,18.111,16.556,14.111,4.722,1.278,-6.0
Minimum,Illinois,1983,-5.222,-3.389,0.444,3.278,9.111,15.889,19.611,19.111,12.222,7.167,2.111,-12.056
Minimum,Illinois,1988,-9.722,-8.611,-0.889,3.889,10.111,15.0,18.278,18.889,12.611,2.833,0.556,-6.111
Minimum,Illinois,1993,-6.389,-7.333,-1.778,4.0,11.222,15.611,19.778,18.333,11.111,4.556,-0.278,-3.889
Minimum,Illinois,1998,-3.722,0.667,0.5,5.833,13.889,16.667,18.778,18.167,15.0,7.444,2.333,-3.278
Minimum,Illinois,2003,-9.833,-7.778,-0.889,5.333,10.222,13.778,17.833,17.778,11.222,5.611,2.056,-3.222
Minimum,Illinois,2008,-8.222,-7.556,-1.389,4.944,8.833,17.0,17.833,16.0,13.556,6.0,0.0,-8.333
Minimum,Illinois,2013,-6.667,-5.667,-3.111,4.056,11.722,16.333,17.333,16.556,13.389,6.278,-1.611,-8.111
Minimum,Illinois,2018,-9.667,-5.556,-1.111,0.722,15.0,18.111,18.167,18.111,15.333,6.5,-1.944,-3.0
Minimum,Illinois,2022,-10.778,-7.778,0.333,4.056,12.778,16.556,18.778,17.389,13.167,4.556,0.333,-5.278
Minimum,Indiana,1968,-9.778,-9.444,-1.0,4.944,8.611,15.333,17.167,17.056,11.944,5.333,1.333,-5.556
Minimum,Indiana,1973,-5.611,-5.667,3.444,5.111,8.5,16.278,17.778,16.833,13.722,7.889,1.778,-5.444
Minimum,Indiana,1978,-12.889,-15.333,-4.278,4.389,9.5,15.167,17.278,16.278,13.5,4.111,1.278,-4.667
Minimum,Indiana,1983,-4.889,-4.167,0.0,3.167,8.333,15.056,18.722,18.389,11.556,6.889,1.722,-10.278
Minimum,Indiana,1988,-9.278,-7.889,-1.167,3.389,9.278,13.833,17.611,18.056,11.778,2.167,0.667,-6.056
Minimum,Indiana,1993,-4.889,-8.056,-1.778,3.944,10.167,15.167,19.333,17.278,10.944,4.0,0.389,-3.889
Minimum,Indiana,1998,-1.778,-0.278,0.5,5.333,13.056,16.167,17.5,17.389,13.667,6.778,1.556,-2.5
Minimum,Indiana,2003,-10.278,-7.833,-0.722,5.167,10.167,13.444,16.944,17.333,11.111,5.0,2.722,-3.111
Minimum,Indiana,2008,-7.444,-6.389,-1.278,4.944,8.278,16.333,17.0,15.333,12.944,5.333,-0.389,-6.778
Minimum,Indiana,2013,-6.0,-5.333,-2.889,4.111,11.889,15.833,17.0,15.778,12.5,6.278,-1.056,-6.056
Minimum,Indiana,2018,-9.056,-3.5,-1.611,1.056,14.333,17.444,17.5,17.944,15.444,6.944,-1.222,-2.278
Minimum,Indiana,2022,-9.444,-6.5,0.389,3.667,12.111,15.278,18.333,16.889,12.611,4.278,0.444,-4.167
Minimum,Iowa,1968,-12.611,-11.833,-2.333,3.0,6.556,14.833,16.222,15.778,10.167,4.944,-3.222,-10.833
Minimum,Iowa,1973,-11.0,-8.056,1.167,2.444,7.778,15.111,17.167,16.611,11.611,7.056,-1.667,-10.889
Minimum,Iowa,1978,-18.556,-16.889,-6.167,3.389,9.222,14.333,16.889,15.167,12.833,3.167,-3.444,-11.722
Minimum,Iowa,1983,-8.778,-5.778,-2.0,0.944,7.056,14.833,18.667,18.722,10.889,4.889,-0.833,-17.833
Minimum,Iowa,1988,-14.667,-13.167,-3.611,1.556,10.667,15.444,17.056,17.333,11.111,0.833,-2.444,-9.278
Minimum,Iowa,1993,-12.722,-11.111,-4.889,1.611,9.444,13.778,17.5,16.778,8.444,3.389,-4.056,-7.944
Minimum,Iowa,1998,-8.444,-1.944,-3.556,4.222,12.111,14.111,17.611,17.444,13.167,5.944,-0.056,-7.111
Minimum,Iowa,2003,-12.556,-12.444,-4.389,3.611,8.111,13.444,16.778,16.611,8.944,3.833,-2.722,-6.333
Minimum,Iowa,2008,-13.444,-13.222,-4.833,2.111,7.444,14.778,17.056,14.667,11.444,4.111,-2.0,-13.556
Minimum,Iowa,2013,-11.0,-9.0,-6.222,0.611,9.167,15.222,16.222,15.778,12.5,4.056,-4.5,-13.278
Minimum,Iowa,2018,-12.944,-11.556,-2.889,-2.222,12.944,17.278,16.889,16.222,13.278,3.389,-5.444,-6.389
Minimum,Iowa,2022,-15.889,-12.556,-3.0,0.444,10.278,15.556,17.5,16.056,11.611,2.333,-3.111,-10.444
Minimum,Kansas,1968,-8.111,-6.778,-0.333,4.056,8.278,16.444,18.444,18.056,11.556,6.444,-1.222,-8.444
Minimum,Kansas,1973,-7.833,-4.667,2.833,3.611,8.833,15.722,18.389,18.111,13.111,7.611,0.278,-6.167
Minimum,Kansas,1978,-12.833,-11.111,-2.167,6.278,10.389,16.556,19.389,17.278,14.444,4.778,-0.278,-7.889
Minimum,Kansas,1983,-5.389,-3.444,0.111,2.333,8.222,14.667,19.667,20.778,13.667,8.056,0.667,-13.667
Minimum,Kansas,1988,-9.667,-7.278,-1.611,3.556,11.722,17.278,18.556,18.722,12.833,4.778,-0.556,-5.389
Minimum,Kansas,1993,-8.556,-7.222,-0.778,3.778,10.778,15.444,19.222,18.444,10.222,5.0,-3.389,-4.444
Minimum,Kansas,1998,-4.944,-1.056,-2.0,4.222,12.5,15.389,20.278,18.611,16.056,7.889,2.444,-5.222
Minimum,Kansas,2003,-7.056,-6.889,-0.222,6.0,10.167,14.833,19.722,19.278,11.111,6.611,-0.5,-4.444
Minimum,Kansas,2008,-7.833,-6.278,-1.167,3.167,9.833,16.111,18.889,17.889,12.556,6.056,0.278,-8.0
Minimum,Kansas,2013,-6.556,-5.778,-2.333,2.111,10.111,16.444,18.222,18.556,14.889,5.556,-1.667,-8.444
Minimum,Kansas,2018,-8.667,-7.167,-0.222,0.611,14.278,18.5,19.056,17.833,15.056,5.722,-3.056,-4.889
Minimum,Kansas,2022,-8.833,-8.278,-1.444,4.0,11.333,17.444,19.944,18.389,13.778,5.5,-2.278,-7.5
Minimum,Kentucky,1968,-6.444,-8.167,0.389,6.5,10.667,15.444,17.556,18.056,12.5,6.389,2.444,-4.0
Minimum,Kentucky,1973,-4.333,-3.833,5.611,6.5,9.167,16.722,18.444,17.444,15.444,8.944,3.278,-2.444
Minimum,Kentucky,1978,-10.0,-10.167,-0.556,6.889,10.556,16.0,18.389,18.111,15.389,4.667,3.444,-2.611
Minimum,Kentucky,1983,-3.444,-2.222,2.0,4.5,9.778,15.278,18.944,19.167,13.111,8.222,2.056,-6.167
Minimum,Kentucky,1988,-6.056,-4.5,0.778,5.056,9.611,13.722,18.389,18.722,13.556,3.111,1.389,-3.333
Minimum,Kentucky,1993,-1.667,-4.667,0.389,5.167,11.222,15.611,20.111,18.111,13.167,5.778,1.111,-2.0
Minimum,Kentucky,1998,0.667,1.167,2.778,6.222,13.778,17.222,19.167,17.722,14.944,7.778,2.556,-0.333
Minimum,Kentucky,2003,-6.778,-3.222,2.611,7.5,12.444,14.278,18.278,18.667,12.778,6.889,4.333,-2.111
Minimum,Kentucky,2008,-4.556,-1.944,1.278,6.333,9.889,17.0,17.5,16.556,14.556,6.278,0.056,-3.111
Minimum,Kentucky,2013,-2.278,-3.0,-1.111,6.0,12.056,16.833,17.944,17.722,14.278,8.167,-0.389,-2.056
Minimum,Kentucky,2018,-6.722,1.5,1.333,3.667,15.833,18.333,18.889,19.0,17.722,8.889,0.444,0.167
Minimum,Kentucky,2022,-5.944,-2.778,2.444,6.0,13.5,16.389,20.056,18.5,13.611,5.0,1.778,-2.0
Minimum,Louisiana,1968,3.056,0.667,6.667,14.444,16.722,20.667,21.167,21.222,17.056,12.778,6.111,3.0
Minimum,Louisiana,1973,2.333,3.611,11.444,11.778,16.222,20.833,22.5,20.611,20.667,15.333,11.444,3.222
Minimum,Louisiana,1978,-0.056,0.056,6.278,12.944,17.667,20.944,22.278,21.611,20.389,11.111,10.722,3.944
Minimum,Louisiana,1983,2.778,5.056,6.556,10.167,16.167,19.889,22.278,22.611,17.667,12.889,8.278,1.444
Minimum,Louisiana,1988,1.333,4.556,8.056,12.333,14.778,19.389,22.222,22.333,19.778,11.889,9.722,4.389
Minimum,Louisiana,1993,5.667,4.833,7.5,10.667,16.056,21.5,22.944,22.778,19.056,13.056,6.278,4.444
Minimum,Louisiana,1998,6.722,6.0,8.389,11.667,18.889,23.0,23.833,22.889,22.056,15.0,11.167,7.0
Minimum,Louisiana,2003,1.556,5.333,9.0,12.889,19.222,21.444,22.333,22.722,18.722,13.222,10.111,2.944
Minimum,Louisiana,2008,3.556,6.111,8.944,13.0,17.667,21.833,22.333,22.333,19.0,11.944,7.0,5.333
Minimum,Louisiana,2013,6.389,6.778,6.111,12.111,16.5,22.0,21.667,22.222,20.5,14.611,6.944,4.389
Minimum,Louisiana,2018,0.833,10.889,10.667,10.444,19.222,22.611,23.222,22.278,22.278,16.222,7.333,6.556
Minimum,Louisiana,2022,2.0,4.111,7.889,13.444,19.333,22.5,23.611,23.056,18.889,11.222,8.722,7.167
Minimum,Maine,1968,-18.778,-17.889,-7.5,-0.778,2.556,8.889,12.222,9.222,8.111,3.5,-5.111,-11.667
Minimum,Maine,1973,-14.056,-14.778,-5.056,-1.111,4.389,11.0,14.111,14.056,6.667,1.722,-3.889,-7.833
Minimum,Maine,1978,-15.667,-17.167,-10.833,-2.722,5.167,9.833,12.0,10.778,3.722,0.722,-6.333,-12.556
Minimum,Maine,1983,-13.278,-12.778,-5.444,0.167,4.556,9.444,12.611,11.944,7.778,1.167,-2.389,-12.444
Minimum,Maine,1988,-16.222,-14.889,-9.556,-0.722,5.167,8.333,13.944,13.167,6.222,0.833,-2.167,-13.722
Minimum,Maine,1993,-14.889,-20.611,-11.111,-1.444,4.167,8.667,12.389,12.056,6.833,-0.556,-4.556,-9.889
Minimum,Maine,1998,-12.389,-9.944,-6.778,-0.833,6.722,10.222,12.722,11.444,7.944,2.833,-2.5,-8.278
Minimum,Maine,2003,-17.833,-16.778,-10.722,-4.111,3.722,9.611,13.056,13.556,8.333,1.889,-2.722,-9.833
Minimum,Maine,2008,-12.778,-13.0,-11.0,-1.111,3.222,10.833,13.944,12.0,7.556,1.5,-2.278,-12.056
Minimum,Maine,2013,-14.611,-11.5,-5.278,-2.111,4.556,10.167,14.278,11.5,8.111,2.778,-4.444,-12.611
Minimum,Maine,2018,-14.5,-11.111,-6.222,-2.944,4.056,8.167,14.111,14.111,8.056,1.333,-5.5,-11.556
Minimum,Maine,2022,-18.0,-13.333,-6.778,-0.611,5.0,9.222,13.0,13.889,8.389,3.111,-2.0,-6.278
Minimum,Maryland,1968,-7.556,-6.833,0.667,4.889,8.889,15.167,18.111,18.111,12.722,8.611,3.278,-4.056
Minimum,Maryland,1973,-4.0,-4.889,3.389,5.889,9.722,17.444,18.278,18.556,14.667,8.0,2.667,-1.722
Minimum,Maryland,1978,-6.778,-9.056,-1.222,4.556,10.167,15.111,17.278,19.333,13.667,5.444,3.0,-2.333
Minimum,Maryland,1983,-3.333,-3.778,2.056,4.833,9.722,15.333,18.0,18.0,13.0,8.222,2.389,-4.0
Minimum,Maryland,1988,-7.556,-3.722,0.222,4.778,10.889,14.833,19.222,19.278,12.556,4.167,2.111,-3.444
Minimum,Maryland,1993,-1.556,-5.556,-0.833,4.833,11.5,15.389,19.722,18.056,14.333,6.611,1.722,-3.0
Minimum,Maryland,1998,0.056,0.167,1.889,6.389,12.833,16.111,18.167,17.778,15.444,7.889,1.833,0.056
Minimum,Maryland,2003,-6.111,-4.889,0.667,5.389,10.611,15.667,19.0,19.5,14.944,6.5,4.611,-2.167
Minimum,Maryland,2008,-2.944,-2.667,1.0,7.167,9.333,17.222,18.667,16.444,14.889,6.556,2.167,-1.5
Minimum,Maryland,2013,-2.278,-3.056,-0.5,6.111,11.222,17.222,20.556,17.333,12.5,9.056,0.833,-1.167
Minimum,Maryland,2018,-6.0,0.222,-0.944,4.444,14.556,17.0,19.056,20.0,18.667,9.944,2.056,-0.556
Minimum,Maryland,2022,-5.556,-2.611,1.944,5.611,12.611,16.278,20.0,19.167,14.556,6.778,3.556,-2.889
